index,d__Bacteria;p__Cyanobacteriota,d__Bacteria;p__Pseudomonadota,d__Bacteria;p__Actinomycetota,d__Bacteria;p__Bacillota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Chloroflexota,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;__,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Latescibacterota,d__Bacteria;p__Armatimonadota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Thermodesulfobacteriota,d__Bacteria;p__Rhodothermota,d__Bacteria;p__Incertae_Sedis,d__Bacteria;p__Hydrogenedentes,d__Archaea;p__Nanoarchaeota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Chlamydiota,d__Bacteria;p__WS2,d__Bacteria;p__Ignavibacteriota,d__Bacteria;p__Abditibacteriota,d__Bacteria;p__Sumerlaeota,d__Archaea;p__Thermoproteota,d__Bacteria;p__Candidatus_Kapabacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Fibrobacterota,Unassigned;__,d__Bacteria;p__Dependentiae,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__TX1A-33,d__Bacteria;p__Methylomirabilota,accession,sra_run,Type
NC_1,140.0,7355.0,1373.0,1579.0,2521.0,851.0,515.0,1229.0,1648.0,413.0,1276.0,70.0,581.0,873.0,95.0,107.0,122.0,26.0,34.0,24.0,68.0,17.0,93.0,22.0,8.0,4.0,16.0,0.0,4.0,0.0,4.0,5.0,9.0,4.0,0.0,0.0,0.0,SRX13358032,SRR17174845,NC
NC_2,86.0,7163.0,1294.0,1141.0,2731.0,956.0,370.0,948.0,1116.0,376.0,876.0,60.0,544.0,894.0,39.0,57.0,211.0,35.0,38.0,12.0,25.0,21.0,18.0,15.0,5.0,2.0,5.0,19.0,3.0,10.0,12.0,16.0,4.0,5.0,2.0,0.0,0.0,SRX13358026,SRR17174851,NC
NC_3,170.0,6980.0,1659.0,1313.0,2389.0,878.0,412.0,1069.0,1187.0,378.0,954.0,68.0,463.0,698.0,64.0,76.0,141.0,59.0,14.0,32.0,56.0,12.0,39.0,26.0,7.0,4.0,4.0,2.0,4.0,12.0,9.0,0.0,9.0,2.0,3.0,4.0,3.0,SRX13358024,SRR17174853,NC
NC_4,148.0,7184.0,1262.0,1788.0,2602.0,766.0,637.0,1114.0,1390.0,424.0,1114.0,92.0,567.0,768.0,73.0,72.0,95.0,34.0,23.0,22.0,53.0,8.0,32.0,9.0,14.0,16.0,6.0,3.0,0.0,4.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,SRX13358022,SRR17174855,NC
NC_5,104.0,6963.0,1434.0,2364.0,3749.0,824.0,516.0,763.0,1163.0,489.0,877.0,107.0,351.0,779.0,109.0,87.0,187.0,65.0,40.0,31.0,124.0,0.0,24.0,20.0,0.0,12.0,6.0,5.0,9.0,9.0,5.0,0.0,7.0,0.0,2.0,0.0,0.0,SRX13358630,SRR17174856,NC
NC_6,291.0,9791.0,980.0,1625.0,3652.0,963.0,184.0,539.0,624.0,200.0,461.0,60.0,264.0,390.0,31.0,32.0,61.0,31.0,10.0,5.0,18.0,18.0,22.0,4.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,5.0,0.0,SRX13358517,SRR17174969,NC
Tomato_1,1378.0,9044.0,1083.0,559.0,3314.0,1195.0,112.0,147.0,244.0,411.0,197.0,21.0,48.0,126.0,13.0,37.0,6.0,8.0,9.0,9.0,5.0,0.0,0.0,2.0,0.0,5.0,9.0,5.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,SRX13358040,SRR17174837,Tomato
Tomato_2,1317.0,9741.0,2018.0,808.0,2445.0,818.0,196.0,317.0,438.0,533.0,343.0,21.0,108.0,252.0,11.0,72.0,17.0,9.0,27.0,14.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,7.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,SRX13358039,SRR17174838,Tomato
Tomato_3,3254.0,9181.0,1550.0,1041.0,2368.0,1293.0,152.0,260.0,506.0,488.0,369.0,26.0,101.0,212.0,18.0,71.0,21.0,13.0,6.0,9.0,12.0,3.0,6.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,SRX13358038,SRR17174839,Tomato
Tomato_4,1944.0,9307.0,1200.0,1153.0,2740.0,619.0,206.0,449.0,619.0,572.0,323.0,40.0,168.0,372.0,22.0,64.0,54.0,17.0,5.0,16.0,11.0,4.0,11.0,0.0,0.0,0.0,14.0,0.0,7.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,SRX13358037,SRR17174840,Tomato
Tomato_5,859.0,7790.0,1782.0,1788.0,2534.0,435.0,147.0,264.0,388.0,234.0,261.0,19.0,91.0,194.0,5.0,27.0,16.0,7.0,15.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,3.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,SRX13358036,SRR17174841,Tomato
Tomato_6,859.0,10379.0,2055.0,457.0,2324.0,968.0,187.0,258.0,383.0,485.0,335.0,17.0,41.0,214.0,16.0,56.0,8.0,5.0,16.0,9.0,7.0,0.0,0.0,4.0,0.0,0.0,13.0,6.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,SRX13358035,SRR17174842,Tomato
